"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","VP","Fahrt[Manuell]","Fahrt[HandsOn]","Fahrt[HandsOff]","ManuellNotizProband","ManuellNotizFahrt","HOnNotizProband","HOnNotizFahrt","HOffNotizProband","HOffNotizFahrt","SonstigeAnmerkungen","FahrerInitierteTrans","SysteminitierteTrans","DMS","HMI","Geschwindigkeit","Systemverhalten","BewertungL2","L2PrivatesFahrzeug[ACC]","L2PrivatesFahrzeug[Spurhaltung]","L2PrivatesFahrzeug[Haendefrei]","AnmerkungenBewertung","KommentareL2","KommentareStudie"
"30","2022-07-18 18:23:55","3","de","540559144","2022-07-18 17:28:00","2022-07-18 18:23:55","25","Y","","","teils Schlangenlinien und Berührung Standspur (mehrmals), Szenario 1 erkannt, abwechselnd Aufmerksamkeit auf Fahrtätigkeit und Tablet, zwischendurch Screening der Umgebung, angestrengt, Szenario 2 erkannt, gelangweilt, immer wieder Abdriften auf Standspur, Baustelle erkannt, aber nur langsam rübergezogen, dadurch notbremsung ausgelöst bis Stillstand, Szenario 5, 6 und 7 erkannt, entlastende Armbewegungen, dabei kurz teils auf Überholspur gekommen, Schlangenlinien, Pannenfahrzeug erkannt, jedoch nicht rechtzeitig gebremst, dann Notbremsung und nach links gewechselt","Notbremsung löst aus, wenn Fahrer schon langsam auf die linke Spur wechselt (Baustelle)","","","","","","Bremsen generell schwierig (kein Feedback), Baustelle Notbremsung unverständlich, Pannenfahrzeug, Bei Pannenfahrzeug gesehen, gebremst, aber zu schwach, weil Bremse nicht gut einschätzbar","","","i.O.","vorher antizipiert und erkannt. i.O.","","","","","","","","Eintippen von Antworten erfordert starke Aufmerksamkeit"
"31","2022-07-18 20:12:29","3","de","2042069541","2022-07-18 19:03:56","2022-07-18 20:12:29","26","","","Y","","","","","Oft Warnmeldungen, teils auch bis zur 2. Stufe und Deaktivierung Automation, einmal auch Vehiclestop (durch schlechte Kalibrierung), oft bis 2. Warnstufe mit HandsOnDetection, Szenario 2 nicht erkannt, teilweise Automation beendet ohne es zu merken (Rechtsfahrt wurde vom Probandin gemerkt), bei Baustelle spät reagiert, Notbremsung und dann nach links gezogen, Szenario 6 nicht erkannt, sehr oft bis 2. Warnstufe gewarnt, Pannenfahrzeug nicht erkannt, Notbremsung, nach links gezogen","langsames Auto in Baustelle, aber linke Seite","etwas ungenaue Kalibrierung","Baustelle, war vorgewarnt, Fuß auf Bremse, Pannenfahrzeug gar nicht erkannt, Tabletaufgabe, bei Links Überholen nicht in Seitenspiegel geschaut","","ganz ganz nervig, hat aber verstanden, warum, kurzer Blick aufs Fahrgeschehen, dadurch so häufig kann man sie in kritischen Situationen ignorieren, Warnungen erkannt im Display","intuitiv, besseres Design","auf Geschwindigkeiten nicht geachtet, aufs System verlassen","schwierig, da physisches Feedback fehlt, wahrgenommen, wenn Automation deaktiviert wurde","EherN","Ja","Ja","EheJa","wenn Warnungen nicht nervig und zeitlich so kurz aneinander folgen, Alarmbereitschaft sinkt","",""
"32","2022-07-19 10:50:40","3","de","33690745","2022-07-19 09:45:19","2022-07-19 10:50:40","27","","Y","","","","meiste Aufmerksamkeit auf Tablet, Szenario 2 nicht erkannt, Szenario 4 nicht erkannt, Notbremsung bis zum Stillstand, nur gelegentlich Blicke aufs Fahrgeschehen, Nackenschmerzen, Szenario 6 nicht erkannt, angestrengt, Szenario 8 nicht erkannt, Notbremsung, dann nach links ausgewichen","","","","","Pannenfahrzeug kam sehr unvermittelt, vorher gesehen, aber nicht richtig erkannt, selber noch gebremst, nicht zu 100% auf Notbremsung verlassen
Baustelle schon gelenkt als Notbremsung ausgelöst wurde, AKtivierung nicht ganz verstanden, recht früh in der Kurve","einmal selbst ausgeschaltet, Proband weiß nicht, ob selbst oder vom System","meistens 1 Hand am Steuer, keine Warnmeldungen","wusste über Automationsstände Bescheid","2 und 6 nicht erkannt, Änderungen aufgefallen, als Automation deaktiviert wurde, ers tbei 90 km/h bemerkt","automatischer Spurwechsel wünschenswert und auchAutomation in Baustelle","Ja","EheJa","EheJa","Manue","","",""
"33","","1","de","1742527021","2022-07-19 11:44:00","2022-07-19 11:44:06","28","","","Y","","","","","","","","","","","","","","","","","","","",""
"34","2022-07-19 13:04:44","3","de","1745160727","2022-07-19 12:27:23","2022-07-19 13:04:44","28","","","Y","","","","","immer kurze Blicke zur Straße, um Warnmeldungen zu deaktivieren, Warnmeldungen mussten dem Probanden während der Fahrt erklärt werden, bei Warnmledung erst Blick ins Display dann zur Straße, Proband hat Quiz beendet und dann von neu gestartet, Szenario 2 nicht erkannt, teils längere Aufmerksamkeit zum Fahrgeschehen, Bausteller erkannt und ohne Notbremsung nach links gezogen , Szenario 6 nicht erkannt, Pannenfahrzeug nicht erkannt, Notbremsung und dann nach links","","Proband hatte keine Brille, am Anfang Einweisung für Warnmeldung","Baustelle zu spät bemerkt, Proband hat versucht, Automation in der Baustelle zu benutzen, Pannenfahrzeug zu spät erkannt, Seitenspiegel geschaut.","einmal Automation deaktiviert worden (nicht nachvollziehbar)","hat Warnungen verstanden, eigentlich nicht nervig, gleiches Piepsen bei Notbremsassistant (kurz erschrocken), man merkt nicht, dass das Fahrzeug bremst, imemr wieder Wanrmledungen registriert","i.O.","nicht erkannt, am Schild erkannt, wenn beschleunigt wurde, ansosnten nicht vom Fahrverhalten bemerkt","eigentlich schon eigenständiger Spurwechsel, ansosnten ganz gut, Automation immer auf Fahrpbahnmitte egal ob vorbeifahrender Verkehrs versetzt gefahren ist","Ja","Ja","Ja","Ja","","","Simulator ist anders als Fahren"
"35","2022-07-19 15:37:50","3","de","585821455","2022-07-19 14:30:53","2022-07-19 15:37:50","29","","Y","","","","meiste Aufmerksamkeit auf Tablet, teils Zeiten mit Konzentration auf Fahrgeschehen, Szenario 2 nicht erkannt, Baustelle erkannt, rübergelenkt, jedoch langsam, sodass ganz kurz Notbremsung aktiv war, Szenario 6 nicht erkannt, oft auf Außenspiegel geachtet, einmal Warnmeldung wegen HandsOff, gelangweilt, Ermüdungserscheinungen, Nackenschmerzen, Pannenfahrzeug nicht erkannt, Notbrmesung, nach links gewechselt","Bei m5 Anfang und m12 am Anfang wird Automation deaktiviert vom System (ohne Einfluss des Probanden)","","","","frühzeitg Baustelle erkannt, Notbremsung überflüssig, nicht verstanden, Probandin war abgelenkt, Automation versucht zu aktivieren in der Baustelle","2 mal vom System deaktiviert (zu hohe Lenkeinschläge, unklare Ursache)","einmal aktiviert, unklar, Hand war am Lenkrad, evtl. zu locker, eine Hand am Steuer","i.O.","Geschw.änderungen nicht mitbekommen, aufs System verlassen, sonst nix so drauf geachtet","kein automatischer Spurwechsel, hätte gerne Warnung vor Situationen erhalten","Ja","Ja","Ja","Manue","","mit der Zeit mehr Vertrauen ins System","je mehr die probandin müder wurde, desto höher das Systemvertrauen"
"36","2022-07-19 17:40:56","3","de","1262153598","2022-07-19 16:45:32","2022-07-19 17:40:56","30","Y","","","Schlangenlinien, teils auf Überholspur und Standspur, Langsamleserin, teils langsamer, viel Schlangenlinien, Szenario 1 erkannt, meiste Aufmerksamkeit auf Fahrgeschehen, Szenario 2 erkannt, nach Eingewähnung gute Spurhaltung, Szenario 3 erkannt, Baustelle erkannt, langsam nach links, minimal Notbremsungauslösung, Szenario 5 erkannt, leichte Müdigkeitserscheinungen, Szenario 6 erkannt, gegen Ende meiste Aufmerksamkeit auf Fahrgeschehen, teils auf Standspur, Pannenfahrzeug rechtzeitig erkannt und nach links ausgewichen, minimal Notbremsungauslösung, da langsam rüber","","","","","","","überrascht bei Pannenfahrzeug, Geschwindigkeitslimits nicht immer wahrgenommen","","","","teils durch langsam fahrendere Autos links bemerkt","","","","","","","","Motorgeräusch hat gefehlt, dadurch bessere Einschätzung für Fahrdynamik, Multitasking schwer, Spurhalteassistant wäre wünschenswert gewesen, teils überflogen nach Schlüsselwörter"
"37","2022-07-19 20:44:18","3","de","2107754153","2022-07-19 18:50:17","2022-07-19 20:44:18","31","","","Y","","","","","Anfangs viel Scannen der Umgebung, versucht durch kurze Blicke aufs Fahrgeschehen die Warnmeldungen zu deaktivieren, nach Warnung erst Blick aufs Display dann zum Fahrgeschehen, Szenario 2 erkannt, Nachfrage bei Versuchsleiter, was Sie tun soll, Probandin vergleicht meist die Verkehrsschilder mit denen in der Automation, angespannt, Scannt Außenspiegel, Rückspiegel, Display und Fahrumgebung bei Warnung, mehrmals Warnmeldung 2. Stufe (2. Warnstufe nicht klar für Probandin, wann dann wieder HandsOff Modus), Bei Baustellensituation HandsOn, Situation erkannt und nach links gewechselt ohne Notbremsung, Kopfkratzen, Szenario 6 erkannt, fährt dann aber wieder schneller und aktiviert noch vor 120 km/h Schild Automation, Nackenschmerzen, bei m12 Geschwindigkeitslimit am Ende noch selbstständig Gas gegeben, weil wohl Überholverkehr schneller war, zum Ende hin unruhig, Pannenfahrzeug erkannt, frühzeitig nach links gewechselt","","Rückfragen an Versuchsleiter zu Funktionalitäten der Warnmeldung während der Fahrt, Kalibrierung nicht optimal bei Probandin","Baustelle früh erkannt (Verkehrsschilder), langsamer geworden und Fokus auf Fahrgeschehen, Symbol war nicht in der Baustelle, deshalb nicht aktiviert, Pannenfahrzeug (Warnzeichen gesehen), während Ausweichmanöver nicht auf Überholverkehr gefahren","Assistant wurde deaktivert vom System, noch rechtzeitig erkannt","hat sehr oft gepiepst, am Anfang erschrocken (Lautstarke in Ordnung), mit der Zeit genervt, hat die Bedeutung erkannt (Ablenkung), am Ende beim Lesen den Kopf schnell nach oben und unten bewegt, um auszutricksen","","bei Szenario 7 früher Gas gegeben (eigener Fahrstil und Überholverkehr","angenehm","EherN","Ja","Ja","Nein","eher Fan von klassichem Autofahrer, selbst drauf konzentrieren, fand es anstrengend, sich von Nebentätigkeiten abzulenken, bei Autofahren so schon konzentriert","",""
"38","2022-07-19 22:11:28","3","de","1667435546","2022-07-19 21:17:43","2022-07-19 22:11:28","32","Y","","","kruze schnelle Blicke zum Fahrgeschehen, teils langsamer unterwegs, Szenario 1 erkannt, dann aber wieder schneller geworden, bleibt größtenteils innerhalb der Spur, nur leichte Schlangenlinien (teils auch größere Schlangenlinien), teils kurz auf Standspur (öfter), Szenario 2 erkannt, Szenario 3 erkannt, unruhiger ab etwa m7, Baustelle frühzeitig erkannt, jedoch etwas langsam nach links gewechselt, minimal Notbremsung ausgelöst, vermehrt Schlangenlinien, Szenario 5 erkannt, bei m9 500m fast Unfall mit Überholverkehr links durch rüberziehen, Szenario 6 erkannt, genervt, gelangweilt, unruhiger im Sitz, Szenario 7 erkannt, sichtlich angespannt, Schlangenlinien, Szenario 8 nicht erkannt, Notbremsung, dann nach links","","","","","","","nach Baustelle war klar, dass Notbremsung an Bord ist, danach mehr aufs Spurhalten und Geschwindigkeit, sonst Systemvertrauen, Fastkollison mit anderem Teilnehmer,, in Seitenspiegel geschaut bei Manöver Pannenfahrzeug, bei Baustelle recht spät rüber, weil noch Frage beantwortet worden sollte, aber Situation war ihm klar","","","Drehzahl wäre interessant gewesen, analogen Tacho","primär auf Temposchilder auf der Straße geachtet, nicht groß auf Display geschaut, kurz mit Tablet gewartet, bis Schild erkannt ","","","","","","","","Tastatur war noch im Screen, wenn man Antwort nicht rechtzeitig eingetippt hat, kurze Orientierung bei Antwort, sodass man zeit für Texte hatte, man konnte teils Antworten vorhersehen"
"39","","1","de","744596640","2022-07-20 10:35:03","2022-07-20 10:35:10","33","Y","","","","","","","","","","","","","","","","","","","","","",""
"40","2022-07-20 11:29:46","3","de","2084831006","2022-07-20 11:19:04","2022-07-20 11:29:46","33","Y","","","teils Schlangenlinien, Szenario 1 erkannt, bei m3 1200m auf Standspur kurz gekommen, bei m3 3900 kurz auf Überholspur, Szenario 2 erkannt, in Kurven größere Schlangenlinien, teils durch Fragen sehr abgelenkt und auf Standspur, Szenario 3 erkannt, immer prüfende Blicke uf Fahrgeschehen, sonst abwechselnd Beschäftigung mit NDRT, Baustelle frühzeitig erkannt und nach links gewechselt, nach Baustelle teils längere Aufmerksamkeit auf Fahrgeschehen, Szenario 5 erkannt, angespannt, Szenario 6 erkannt, unruhiger, Szenario 7 erkannt, Szenario 8 frühzeitig erkannt, gebremst bis Stillstand und dann nach links (Warten auf anderes Fahrzeug)","","","","","","","öfter von Spur abgekommen, Aufmerskamkeit bei Baustelle und man hatte Zeit, während Baustelle auch NDRT, Probandin: fast zu knapp Pannenfahrzeug erkannt, Vollbremsung, weil Überholverkehr nicht richtig erkannt und eingeschätzt werden konnte","","","i.O.","alle erkannt, immer reales Schild angeschaut, bis nächstes Schild gewartet, bevor nächste Frage beantwortet wurde","","","","","","","","Lesen war schwieriger, beim Tippen konnte man Pausen machen, beim Lesen sehr häufig Zeit abgewartet, um nochmal den Text zu verinnerlichen oder auf Verkehr aufzupassen"
"41","2022-07-20 13:44:59","3","de","1496807667","2022-07-20 12:37:27","2022-07-20 13:44:59","34","","","Y","","","","","öfter Warnmeldungen, anfangs nicht verstanden, dass bei 2. Warnstufe HandsOnDetection ist, mehrmals Vehiclestop und dann ohne Automation auf Standspur geraten, zwischendurch App beendet und neu gestartet, Augenschmerzen, sehr viele Probleme mit Warnkaskade, angespannt, angestrengt, Szenario 2 nicht erkannt, teilweise HandsOn Fahrt, ignoriert teils Warnmeldungen, dann erschrocken und etwas hektisch, verunsichert, kein richtiger Lernprozess erkennbar, nach Vehiclestop manchmal ausrollen des Autos ohne wieder Automation zu aktivieren, versteht System nicht, Szenario 4 Notbremsung und VehicleStop, beimanueller Fahrt in Baustelle Leitplanke berührt, meiste Aufmerksamkeit bei Fragen, abermals Ignorieren der Warnmeldungen, kein richtiges Bewusstsein für Fahrgeschehen, nur Blick zur Straße, um Warnungen zu deaktivieren, wiederholt Fahrzeugsstops, Szenario 6 nicht erkannt, Szenario 8 nicht erkannt, versteht Warnmledungen nicht","m5 Abwurf","Oft Anmerkungen vom Versuchsleiter","hat verstanden, dass das Auto nicht auf der Autobahn stoppen soll, Probandin war nicht klar, dass es kein automatischen Spurwechsel gibt, Pannenfahrzeug nicht erkannt und auch nicht in Rückspiegel oder Seitenspeigel geschaut","bei Warnungen Vehiclestop und Automation deaktiviert","Antwort eintippen war wichtiger als Aufmerksamkeit, deshalb VehicleStop, Warnungen waren nicht nervig, hat versucht, diese auszutricksen, mit kurzen Blicken","i.O.","Tempolimits nicht erkannt (2 und 6)","volles Systemvertrauen, auf der Straße ist nix passiert, hat Fahrdyanamik verstanden und bemerkt bei BEschelunigungen/Verzögerungen, automatischer Spurwechsel wäre gut gewesen","Ja","Ja","Ja","Ja","kann sich dann auch mit anderen Dingen beschäftigen (Kind usw.) kurze Pause","",""
"42","2022-07-20 18:02:48","3","de","536453825","2022-07-20 16:58:16","2022-07-20 18:02:48","35","Y","","","sehr viel Schlangenfahrt, zu Beginn jeweils Überholspur und Standspur berührt und teils überquert, fährt teilweise über 135 km/h, einmal deutlich auf Standspur, Szenario 1 nicht erkannt, Autos rechts überholt (S1), mehrmals teils auf Überholspur gekommen (unkritisch), Szenario 2 nicht erkannt, m6 1500 teils auf Überholspur gekommen (auch 3200m), Szenario 3 nicht erkannt, m7 4200 m auf Überholspur kruz gekommen, Baustelle spät erkannt, fast nach rechts auf Standspur gekommen, Notbremsung ausgelöst bei Wechsel auf linke Spur (war nötig), oft nach links oder rechts gezogen (je nach Kurve, aber auch bei Geraden), m8 1800 kurze Fahrt auf Überholspur (mehrfach), Szenario 5 erkannt, sehr häufige Schlangenfahrt, her etwas schneller unterwegs, m9 400m, Überholspur überquert, Szenario 6 erkannt, dann aber weider beschelunigt wegen schnelleren Überholverkehr, Szenario 7 erkannt, Szenario 8 nicht erkannt, nach links gezogen","","","","","","Versuch musste nach 60 sec neu gestartet werden, da Demo Version für Fragen benutzt wurde","viel Schlangenlinien sowohl nach links als auch nach rechts, am Anfang nach rechts, danach am Ende nach links, bei zu hoher Konzentration auf die Fragen am Tablet, während der Baustelle auch am Tablet, bei Pannenfahrzeug erst nach links und dann in Spiegel geschaut","","","","Szenarien vor Baustelle nicht erkannt, danach bei falschem Limit überrascht, zu sehr Systemvertrauen, 100 gesehen, aber gedacht ,dass System (120) stimmt und wieder beschleunigt","","","","","","","","Beim Lesen nicht auf Weiter geklickt"
"43","","1","de","348376382","2022-07-20 19:08:05","2022-07-20 19:08:51","36","","Y","","","","","","","","","","","","","","","","","","","","",""
"44","2022-07-20 19:57:28","3","de","1947883705","2022-07-20 19:50:48","2022-07-20 19:57:28","36","","Y","","","","meiste Aufmerksamkeit auf Tablet, nur manchmal kurze Blicke aufs Tablet, Szenario 2 nicht erkannt, Baustelle frühzeitig erkannt und ohne Notbremsung rüber gewechselt, nach Baustelle kurzzeitig kein HandsOn, dann Erinnerung (1 Mal Warnung erhalten), Szenario 6 erkannt, Szenario 8 nicht erkannt, fast Notbremsung bis zum Stand, dann links vorbei","m5 und m12 Abwurf","","","","Pannenfahrzeug sehr abgelenkt, Piepsen, dann das rote Leuchten, nur auf Lenkrad geschaut und dann erst aufs Fahrgeschehen, erschrocken, ganz schnell in Außenspiegel geschaut, ganz kurz aufs Tablet bei der Baustelle","es gab keinen Ausschlag beim Lenkrad bei Automationsdeaktivierung","nach der Baustelle, vergessen gehabt, war raus, man war abgelenkt, vergessen mit dem Lenkrad","i.O.","Tempo 100 gesehen und dann selbst gebremst, danach war klar, wann man es aktivieren kann, geschwindigketsänderungen gemerkt","","Ja","Ja","Ja","Manue","man könnt enebenbei was anderes machen, man ist sicherer bei Ablenkung","","Tippen am anstregendesten, sehr genaue Fragen"
"45","2022-07-20 22:04:52","3","de","1610281728","2022-07-20 20:53:51","2022-07-20 22:04:52","37","","Y","","","","sehr lange Intervalle mit Tabletbeschäftigung, Szenario 2 nicht erkannt, fast durchgehend Beschäftigung mit Tablet, Baustelle nict erkannt, Notbremsung bis Stillstand, in Baustelle anfangs Schlangenlinien gefahren, unruhiger, Szenario 6 nicht erkannt, angespannt, konzentriert auf Tablet, Pannenfahrzeug nicht erkannt, sehr erschrocken, nach links ausgewichen und bei RUmlenken fast in Pannenfahrzeug gefahren","Vorderfahrzeug nach Baustelle weggefahren, Automation Abwurf bei m5 Anfang und m12 Anfang","","","","erwartet, dass sich das System ausschaltet, bzw. vorwarnt (level 3), im nachhinein war das falsch, bei Pannenfahrzeug Notbremsung gar nicht wahrgenommen, nicht in Spiegel geschaut, dann fast ins Auto gefahrne, Panik","m5 und m12 Abwurf","keine Warnung ausgebeb siehe Fragebogen, daran gedacht, man spürt es, wenn sich das System ausgeschalten hat","i. o.","sehr abgelenkt mit Tablet","geschwn änderungen bemerkt , eigenständiger spurwechsel wäre toll","EheJa","Ja","Ja","Manue","Probandin würde bei level 2 sonst nix dazu ablenken, im nachhinein erkannt, system gibt keine sicherheit","",""
"46","2022-07-21 10:39:58","3","de","1475088000","2022-07-21 09:47:01","2022-07-21 10:39:58","38","Y","","","vermehrte Aufmerksamkeit auf Fahraufgabe, vor Szenario 1 schon 107 km/h gefahren, nicht erkannt, Geschwindigkeitssprünge, teilweise nur 80 km/h, Schlangenfahrt, oft Beschleunigungen und Ausrollen, fährt eher 110 km/h, angespannt, angestrengt, Szenario 2 nicht erkannt, kurz vorher Beschleunigung auf über 140 km/h, dann wieder teilwiese Verzögerungen auf 95 km/h, m5 Anfang kurz auf Standspur, größere Schlangenlinien, Szenario 3 erkannt, genervt, m7 6200 m kurz auf Überholspur, Baustelle erkannt, aber sehr langsam rübergezogen, Notbremsung bis in Stilstand (nicht kritisch), Nackenschmerzen, nach Baustelle auf 140 km/h kurz beschleunigt, Szenario 5 erkannt, aber dennoch nicht verzögert, also nicht reagiert, Szenario 6 erkannt, m10 1000m kurz Standspur berührt und überfahren, sichtlich angespannt und etwas gelangweilt, genervt, bei m12 700 m auf Standspur kurz gekommen, Szenario 7 erkannt, überwieigend eher 100-105 km/h, Szenario 8 nicht erkannt, Notbremsung bis Stillstand, dann links (nach Aufforderung Versuchsleiter)","","","","","","","Schlangenlinien, eher auf Standspur, Lesen am Anstrengensten, in der Baustelle keine Tabletbeschäftigung, weil Probandin eher schlingert, Pannenfahrzeug sehr spät erkannt","","","i.o., Navigation mit Streckenführung wäre gut","Aufmerksamkeitbei Fragen spiegelt sich auch bei Fahrverhalten wieder und bei Geschwindigkeiten","","","","","","","","Probandin wurde nach Fahrt etwas schlecht"
"47","2022-07-21 13:02:07","3","de","932079939","2022-07-21 11:54:56","2022-07-21 13:02:07","39","","","Y","","","","","teils Warnmeldungen bis 2. und 3. Warnstufe, weiß aber, wie er diese beendet, öfter bis Warnstufe 3, Szenario 2 nicht erkannt, Baustelle spät erkannt, nach links rübergezogen, aber langsam Notbrmesung ausgelöst (nicht kritisch), wollte in Baustelle Automation aktivieren (Hinweis von Versuchsleiter), Mode Confusion, Fastkollision bei m8 1200, da Automation sich nach 2. Warnmeldung und erfolgreicher Deaktivierung deaktiviert hat, wurde vom Probanden erst kurz danach bemerkt, Szenario 6 nicht erkannt, oft bis 2, Warnstufe, Baustelle nicht erkannt, Notbremsung bis Stillstand","m5 Anfang Automation deaktiviert worden auch bei HandsOff, Teils Ansagen von Versuchsleiter zur Funktionalität der Warnkaskade","Schriftgröße wurde von Mittel auf Groß gestellt (Alter Proband 77), Proband hat Größe während der Fahrt wieder auf Mittel gestellt, etwas Vorerfahrung mit Automation, aber nicht HandsOff, Proband hatte am Anfang Demoversion geöffnet, dann normale Version","Pannenfahrzeug sehr spät erkannt, mit so einer Situation gerechnet, sonst an sich sicher gefühlt, bei Baustelle kam Situation zu schnell vor, Desorientierung, hätte paarmal versucht die Automation zu aktivieren bei Baustelle","m5 Anfang","Piepsen war klar, war nervig, gerne leiser, irgendwann angewöhnt, kürzer zu lesen, um dann nach vorne zu sehen und die Warnmeldung zu deaktiveren, Warnmeldungen waren klar","alles klar, eher zu wenig Anzeigen, kurze Navigation, Proband fährt Fahrzeug mit HeadUp Display, ist BLick ins Display nicht gewohnt","übersehen, immer ebwusst und sicher mit der Geschwindigkeit, Systemvertrauen","SPurwechsel nicht nötig, Takeover request gewünscht","EheJa","Ja","Ja","EheJa","Ist eine Gewohnheitssache, Längsführung außerhalb von Ortschaften, uerführung auch innerhalb Ortschaften, HandsOff soll nicht zu vielablenkung führen","",""
"48","2022-07-21 16:41:09","3","de","83025556","2022-07-21 15:45:59","2022-07-21 16:41:09","40","Y","","","Probandin ist gleich am Anfang in die rechte Leitplanke gefahreb, bei m1 2400m auf die Überholspur und hat Überholverkehr ausgebremst, fährt meist sehr weit rechts von der Idealspur, fast auf Standspurmarkierung (überfährt diese mehrmals), bei Übergang zu m2 wieder auf Überholspur gekommen, Anfang m2 auf Beschleunigungsstreifen gekommen, Szenario 1 erkannt, Schlangenlinien in eigener Spur, mehrmals auf Standspur gefahren während Beschäftigung mit Tablet, imemr weider Abdriften auf Standspur, meiste Konzentration auf Fahraufgabe, Szenario 2 erkannt, aber vorher schon langsamer gefahren, teils auch nur 85 km/h, m5 200m auf Standspur gekommen, fährt meist nur etwa 100 km/h, Szenario 3 erkannt, m7 4200m auf Überholspur kurz geraten, fährt sehr weit rechts mit den Rädern auf Standspur markierung, Baustelle erkannt, zu langsam rüber (Notbremsung kurz aktiv, nicht kritisch), Szenario 5 erkannt, m9 2500, auf Standspur abgekommen, Szenario 6 erkannt, angespannt, gelangweilt, Szenario 7 erkannt, Pannenfahrzeug sehr früh erkannt und nach links gewechselt","","","","","","Nachfrage bei mVersuchsleiter wegen Notbremsung bei Baustelle (Was ist passiert?)","Fahrbahn verlassen in beide Richtungen, Tippen und Lesen am Tablet Gründe dafür, auch auf Tacho, in Baustelle reine Fahraufgabe, Pannenfahrzeug ausgewichen, ganz kurz in Spiegel geschaut","","","Piepsen wenn sie zu schnell werden (kurz vor Blitzerauslösung Punkt in Flensburg)","Geschwindigkeitsverzögerungen parallel zur Tableteingabe","","","","","","","","Simulation hat etwas geruckelt"
"49","2022-07-21 18:44:50","3","de","339367980","2022-07-21 17:28:27","2022-07-21 18:44:50","41","","Y","","","","meiste Aufmerksamkeit auf Tablet, Szenario 2 erkannt (Nachfrage bei Versuchsleiter, ab wann wieder aktiviert werden kann), Baustelle frühzeitig erkannt, dann am Anfang 125 km/h gefahren und dann auf 80 runtergebremst, Szenario 6 nicht erkannt, Baustelle erst spät erkannt, während Notbremsung nach links ausgewichen","m5 Anfang Abwurf Automation, teilweise fährt Automation langsamer und schneller wegen geringerer Geschwindigkeit des Vorderfahrzeug","","","Proband war vor Fahrt schon etwas müde, wenig Schlaf","Baustelle rechtzeitig erkannt, Automation versucht zu aktivieren in der Baustelle, dachte es funktioniert in der Baustelle, wenn das Fahren langweilig ist, Pannenfahrzeug rechtzeitig gesehen, nach links gelenkt, in den Rückspiegel geschaut, war frei","Abwurf m5","Hände immer am Lenkrad, teilweise mal 5 sec, aber keine Warnungen","Verbrauchsanzeige Eco Modus","","wegen vorderfahrzeug limitiert, teils schneller und langsamer","Ja","Ja","Ja","Manue","Frage des Preises, Tempomat absolutes Muss","System für Stadtverkehr und Autobahn, auch für Baustellensituation, überall ,wo geblitzt wird, System soll erst langsam auf die nierdigere Geschwiindigkeit abbremsen, mit Toleranz, nicht vorher schon abbremsen","Überholverkehr war viel zu schnell, warum soll ich langsamer fahren"
"50","2022-07-21 21:00:29","3","de","1520471320","2022-07-21 19:52:25","2022-07-21 21:00:29","42","","","Y","","","","","versucht Warnungen durch kurze Blicke zu vermeiden, Szenario 2 nicht erkannt, Scannen der Umgebung, Display, Fahrgeschehen, Baustelle frühzeitig erkannt und nach links gewechselt (keine Notbremsung), Szenario 6 nicht erkannt, angespannt, genervt, Szenario 8 erkannt, nach links gezogen, mit Notbremsung (nicht kritisch)","","Log File Aufzeichnung und Smart Eye erst ab 21:30 min","immer bei Spurwechseln, Szenarien sehr überraschend, Baustelle durch Zufall erkannt, musst erstmal überlegen, was man machen muss, in der Baustelle kurz versucht Automation zu aktivieren, hätte gerne, dass Automation auch in Baustellensituationen funktioniert, Pannenfahrzeug voll überrascht, er weiß nicht, ob er in den Spiegel beim linkswechsel geschaut hat","","wollte es nicht austricksen und war nicht nervig, nicht abgestumpft von Alarmen","i.o.","beide nicht erkannt","angenehm, Spurwechsel eher nicht, Vertrauen fehlt","EheJa","Ja","EheJa","EheJa","Hoff nicht imemr, aber möglichkeit wäre gut, längsführung hat proband selbst schon","bessere Farbgestaltung für Automationssymbole",""
